feature1,feature2,feature3,class
0.3117,0.63527,2.6122,0
1.0365,-0.598,-1.0462,0
1.4967,0.73022,0.80009,0
0.10779,-1.0927,-0.56375,0
-0.0035565,-0.55603,0.80585,0
-1.5245,-0.69993,-0.63192,0
-0.26078,-0.19685,-2.4768,0
0.90445,-1.1741,-0.40978,0
2.7438,-0.23982,-1.2702,0
-0.029189,0.34175,0.57554,0
-0.97862,1.9321,-1.0328,0
-0.96299,-0.39376,-1.5923,0
0.018457,-0.87196,-0.65896,0
-1.1255,0.54313,-1.2936,0
2.097,1.6744,-2.2946,0
0.39916,0.86647,-0.16017,0
1.8521,-1.25,-0.3805,0
0.20166,-0.85379,1.3742,0
0.33631,-1.8124,-1.2806,0
-0.26808,-1.2075,0.040188,0
0.57533,-1.2616,-0.49575,0
0.40882,0.97131,1.9078,0
-0.59557,1.196,0.44897,0
-0.10947,-0.77294,-0.54225,0
-1.6546,-0.22905,1.3301,0
-0.19943,-2.3625,0.3566,0
1.8611,0.79221,0.74562,0
-1.3789,-2.2855,0.70674,0
1.0349,-0.39938,0.27945,0
2.5504,-0.61176,-0.20475,0
1.3321,-0.33292,-0.62334,0
0.799,-1.5902,-2.33,0
-0.11386,0.59655,0.17556,0
1.3102,1.6497,0.044067,0
0.91543,-0.86881,2.4356,0
-0.15634,1.0708,0.65399,0
-0.20277,-0.44959,-1.0552,0
-2.1654,1.3507,0.45997,0
-0.65381,0.58671,-1.0402,0
1.5923,-0.75722,0.16223,0
-0.31916,1.3402,-0.48904,0
0.94041,1.8654,0.12416,0
-0.38099,-0.037327,-1.196,0
-0.451,-0.43744,0.83224,0
0.76564,-0.16988,-0.47146,0
1.3164,2.6409,0.97683,0
1.0799,-0.65524,-1.921,0
-0.27677,1.5851,-0.34735,0
0.0011567,0.55985,-0.31509,0
0.43805,-1.14,-1.8486,0
0.78737,-0.64293,-0.10001,0
1.5445,0.30411,1.1438,0
0.56557,-0.57361,0.69724,0
1.09,1.1368,-0.87733,0
-1.1836,0.36399,0.082082,0
1.4553,-1.043,0.72746,0
1.6246,0.37726,-0.66448,0
1.3462,0.91372,0.58209,0
0.40224,0.35824,0.095204,0
0.1773,-1.4419,0.8174,0
-0.65482,-0.45375,-0.1845,0
-0.66977,0.93035,1.3513,0
-0.63269,-0.32324,-1.3452,0
0.20777,-0.28296,-2.3394,0
-0.62477,-0.16915,-0.094937,0
-0.015712,0.97453,-1.1379,0
0.87374,-1.977,1.1536,0
0.62098,0.17523,-0.76468,0
-1.3388,-0.20016,-0.34926,0
-0.73094,-1.2022,0.041173,0
0.68328,-0.95452,0.64172,0
0.12705,-0.24482,-1.3364,0
1.6162,-1.2043,-1.9242,0
-1.0994,0.61788,-1.6432,0
-0.60463,-0.16633,0.16324,0
-2.0098,-0.6919,0.36584,0
-0.16606,0.45947,-0.11101,0
-0.55169,0.14795,1.7577,0
1.1059,0.94156,0.54549,0
1.2504,1.759,0.26004,0
-0.55341,-0.50172,0.76995,0
0.18586,0.52217,0.1269,0
1.4125,1.0569,0.94193,0
-1.0725,-1.5966,-0.013207,0
1.072,0.15804,0.18282,0
0.40533,0.97269,1.0063,0
-0.088018,-0.31505,-0.42521,0
0.068923,-0.36105,1.8056,0
-0.65407,-0.68119,0.7039,0
-0.41042,-1.0614,-1.9546,0
-1.6594,-0.29024,-0.57364,0
-0.21559,-0.37988,0.57222,0
-0.026622,1.2943,0.84009,0
-0.016904,0.81722,0.66549,0
-0.77146,1.9044,0.18843,0
0.78172,0.7303,-0.98379,0
-0.17535,0.76608,-2.6156,0
1.3723,-0.51337,0.50243,0
0.78446,0.49685,0.5481,0
0.012136,-0.83999,1.1608,0
1.7823,-1.1411,-0.52122,0
-1.1597,0.27775,-1.5273,0
-1.0917,-0.41207,-0.86667,0
1.0798,-0.3059,0.28583,0
0.6571,0.23692,1.1886,0
-0.24721,0.10725,-0.061522,0
-0.034831,0.68041,-0.5937,0
-1.3937,0.71443,-1.7342,0
-1.0745,-0.074958,0.61577,0
-0.37984,1.7242,0.18574,0
0.75707,0.59141,0.45825,0
0.54376,-1.9864,0.80426,0
1.729,0.79442,1.6849,0
0.87689,-0.51958,-0.045479,0
0.99566,2.574,-1.2531,0
-0.53988,-0.87786,-1.3939,0
-0.9252,0.12221,0.89453,0
-0.10525,1.4584,-0.36432,0
-1.2678,-1.6909,0.56001,0
0.53901,-0.75774,-0.31771,0
-0.74809,-0.30551,-0.29394,0
1.4117,1.8944,0.03776,0
-1.1407,-1.3821,-1.0668,0
-0.16534,-0.074273,1.4534,0
0.11104,-1.3918,-1.2789,0
-0.22626,-1.0585,0.32888,0
-1.0141,0.49511,-0.58582,0
-1.1121,0.47937,-0.23616,0
2.0205,0.047952,-0.34055,0
-0.89443,-1.1098,0.9682,0
0.58672,-1.5978,-0.29749,0
-0.58798,-1.1415,-1.53,0
2.8354,0.67458,0.49349,0
-0.55108,-1.1797,1.4126,0
0.27062,0.9722,0.30032,0
-0.14493,-0.35356,1.1838,0
0.16668,-0.77474,-1.5488,0
0.33717,-2.1238,-0.58644,0
-1.798,0.37914,-0.53357,0
1.074,-0.013624,0.63671,0
-1.0578,-1.3074,-1.7455,0
0.51106,0.83443,-1.0024,0
-0.21418,-0.49405,1.0291,0
0.72616,0.51429,-0.60612,0
0.016431,-0.85307,0.18988,0
-0.6606,0.52483,0.25736,0
-2.5781,1.154,1.0267,0
0.088664,0.3623,0.46568,0
-2.0526,-0.87587,0.53318,0
-0.45077,0.16247,2.2087,0
2.1865,-0.79406,1.1092,0
-0.38373,-0.5679,0.79263,0
-2.1162,0.0074252,1.8016,0
0.63554,0.75044,-0.0018169,0
0.023267,0.051302,2.9761,0
-0.30223,-0.50082,-0.34577,0
-0.12045,1.6163,-0.75394,0
-1.6757,0.40055,0.29383,0
0.40756,0.74286,-1.7198,0
-1.5343,-0.39145,2.3816,0
-0.022477,-0.36987,-0.64124,0
0.5602,1.7072,0.78879,0
2.1069,1.9103,-0.057892,0
-0.92875,0.72716,-0.33962,0
0.72653,-0.54474,0.43412,0
-0.24063,-0.348,0.1967,0
-0.70411,1.3617,0.40876,0
-0.018612,0.9946,1.7976,0
0.47202,0.4532,1.2225,0
1.6086,0.79005,-0.0096432,0
0.33514,-0.19773,0.84816,0
-0.83825,0.95658,-1.2222,0
0.50606,-0.46447,1.588,0
0.68775,-1.6737,0.17251,0
-0.68186,0.16912,1.0788,0
-0.39028,0.39732,-1.4916,0
0.17949,1.3396,-0.9357,0
-2.3656,0.13264,-0.43214,0
0.56622,-2.1653,1.7981,0
-0.12141,0.55711,0.03715,0
1.0946,1.3087,1.0089,0
-2.7033,-1.1003,0.52421,0
-0.63411,-0.68036,0.38992,0
-1.683,-0.31713,0.59436,0
0.61329,-0.62035,0.0024389,0
-1.5987,0.22427,0.52072,0
0.28462,0.94678,-0.13718,0
-0.37391,-1.3282,-1.18,0
-0.052208,0.38746,0.26832,0
-1.5525,1.6994,-1.0882,0
0.86804,1.2989,0.26278,0
1.4662,0.27789,0.20597,0
-1.8272,0.059516,-0.18246,0
0.061287,-0.83447,-1.7992,0
1.0358,1.1798,0.10558,0
1.611,-0.54916,-0.58414,0
-1.2745,-0.24915,-1.0923,0
1.8258,-0.12356,-0.83476,0
-0.13154,0.15824,-0.34259,0
0.13158,-0.19976,1.44,0
-0.38107,-1.0788,-0.16748,0
-0.96301,-0.49741,1.65,0
-0.060592,0.41701,0.25262,0
1.1035,0.45496,-0.42793,0
-0.58798,1.1656,0.24747,0
0.4183,-1.7602,-0.52206,0
0.4223,-1.5255,1.9081,0
0.72828,-0.070792,0.20098,0
0.76442,-0.84385,-0.98875,0
0.71616,-0.081566,0.60678,0
-0.90159,-0.29587,-0.20167,0
0.75691,2.2042,-1.2133,0
-1.06,1.0579,-0.58206,0
0.85075,2.4756,-0.50233,0
-1.4227,0.40631,-0.32248,0
-0.99887,1.1266,0.57946,0
-1.5737,-0.77098,-0.93841,0
-0.17228,0.050807,-1.3169,0
-0.669,-1.014,-0.086215,0
-0.52869,0.032823,-0.83367,0
1.3785,0.88369,0.18883,0
-1.6645,0.072392,-0.91479,0
0.2695,0.92608,-2.7137,0
1.0466,2.7427,-1.8181,0
0.51053,-1.5521,-1.4462,0
-1.2369,-0.45261,0.67772,0
0.84152,0.37392,0.27788,0
-0.95984,1.5657,-1.7747,0
-0.80172,-0.51249,1.3348,0
0.21525,0.97532,0.97824,0
0.32619,-0.53629,-1.2872,0
-1.3228,-0.36222,1.6701,0
0.24918,-0.53163,0.34202,0
0.035614,1.0871,0.35147,0
0.60089,-0.79755,-0.44546,0
0.59115,-1.2658,0.1692,0
-0.83292,0.4674,0.92292,0
-0.11015,-0.45903,-1.852,0
1.1268,0.46321,-0.64052,0
-2.3163,-1.1679,-0.53671,0
1.5346,-0.040238,0.22578,0
-0.29672,-1.2298,1.1793,0
1.0541,-1.4267,0.69891,0
-1.1938,1.8438,1.8884,0
1.2803,-0.99437,-0.37192,0
0.45087,-1.2922,-1.7311,0
1.1774,-1.7387,0.11078,0
-0.017706,0.4234,-0.62119,0
-0.54719,0.73948,-0.69955,0
-2.1829,0.63779,-1.4423,0
-0.92467,0.35546,0.70931,0
-1.0649,1.3145,0.74577,0
1.6653,-0.095606,-0.67658,0
-1.4996,0.065727,0.81091,0
-0.41787,-0.84755,-0.86644,0
0.55066,0.92544,-0.15505,0
1.0099,-0.94143,0.31121,0
-0.67472,0.58938,0.062204,0
0.54829,1.6823,-0.67198,0
-0.19404,0.090707,-0.51941,0
-0.93332,-1.0247,-0.68993,0
0.61601,1.4903,0.77073,0
1.7251,0.14888,-1.0221,0
1.17,-0.44907,-1.0604,0
0.67561,-0.74503,0.89366,0
-0.2111,0.70085,0.47694,0
-0.81779,-0.58193,-0.21248,0
0.13069,-0.19363,-1.6611,0
-0.28905,-0.68513,-0.72282,0
0.54967,0.37727,-0.10598,0
0.28364,0.17947,0.78755,0
-0.787,0.96934,1.3143,0
-0.72793,0.77719,0.71335,0
0.58405,0.69185,0.065582,0
-1.4351,0.10336,0.38698,0
0.22266,2.1964,0.41318,0
0.22158,0.07936,-1.2852,0
1.5015,-0.15003,0.49876,0
0.53328,-0.44291,-1.9865,0
-0.72514,-0.8097,1.4628,0
0.25739,-1.2556,0.023222,0
0.048367,-0.81977,0.21885,0
0.59769,-0.65437,-0.50699,0
0.28037,1.7743,-0.1867,0
0.692,0.33246,0.85837,0
0.071945,0.63576,-1.192,0
0.81329,0.30927,-3.2557,0
-1.4391,-1.8035,1.5701,0
3.1409,-2.0012,-0.38314,0
0.4785,-2.3464,-1.0392,0
0.19682,0.5041,-0.25311,0
-1.0547,0.77906,0.16206,0
0.33107,0.55891,0.23412,0
0.91708,0.64692,0.55441,0
-0.907,-1.9573,-0.21995,0
-0.10069,-0.32473,0.11132,0
0.37329,-0.98616,0.88677,0
1.3152,-0.27209,-0.82503,0
-0.41346,0.73811,0.089403,0
-0.58981,1.3254,-0.87832,0
1.3241,0.48148,0.3159,0
1.6047,0.56812,2.6317,0
-0.86555,-0.52234,1.5217,0
0.83866,-1.609,1.6144,0
1.185,1.7598,-1.8379,0
-0.10773,1.9405,-1.619,0
-2.0056,-0.91175,0.31598,0
-1.6106,0.19068,0.57829,0
-0.47876,1.1855,0.66259,0
-1.884,-1.08,-1.4514,0
-0.099236,0.66933,-0.41857,0
-0.70639,-2.0492,0.23437,0
0.0086512,1.4311,1.0401,0
1.3284,0.51716,-1.7304,0
-1.0591,-1.1986,0.10328,0
-0.71816,-0.044086,0.21148,0
2.9561,1.7528,1.5289,0
1.4622,1.1581,0.70701,0
-0.43305,-0.76878,-0.87216,0
-0.91015,-2.309,0.22711,0
0.21693,0.63065,-1.6979,0
-0.51929,-2.8196,0.39674,0
0.28165,0.05318,-0.10164,0
1.5442,-0.68664,-3.1063,0
-0.2101,0.5351,-0.50776,0
-1.5137,0.86367,-0.14217,0
-0.56143,0.14635,-0.92654,0
0.22044,0.18025,0.12155,0
0.49881,-0.31793,-0.50536,0
-1.7437,-0.48217,-0.45466,0
-1.0039,-0.64342,0.39805,0
0.61498,-1.376,-2.0028,0
-2.069,-0.93828,0.30134,0
0.72034,1.0716,0.46333,0
0.27724,-1.0732,-0.69223,0
-1.725,-2.2865,-0.61129,0
-0.32413,-0.14788,0.47158,0
3.6542,0.56615,0.4078,0
-1.7357,0.53043,0.32464,0
0.21686,-0.075463,-0.74308,0
-0.26654,-0.51944,0.12943,0
0.59142,-0.15577,-0.51369,0
-0.79479,0.25561,-1.1398,0
-1.902,-1.1418,-2.036,0
1.7866,0.3906,0.045829,0
-0.58776,-0.66658,1.135,0
-2.4267,-0.76787,0.11371,0
0.40077,-0.15346,0.38163,0
-0.82784,0.72246,0.25923,0
0.75744,0.38204,-0.72997,0
-0.48304,1.1686,0.063141,0
0.64006,-1.3258,-1.5786,0
1.8803,0.54589,0.79134,0
0.83299,0.99529,-0.74687,0
0.2811,0.046893,0.64742,0
-0.66096,0.82599,0.47967,0
-0.75999,1.1259,0.56571,0
-1.8033,0.93913,1.5884,0
-0.20186,1.7924,0.3006,0
-1.4987,-0.02467,0.14809,0
0.90444,-1.6535,-1.2048,0
0.045619,-0.42398,-0.67493,0
-0.82433,0.83909,-0.50322,0
1.2102,-0.45643,0.20775,0
0.52113,0.03448,-1.6673,0
0.56512,0.04762,2.31,0
-1.6237,0.04936,-0.9701,0
-0.00022143,1.0067,-1.0484,0
-0.41574,-0.17997,1.3094,0
-0.95674,0.27322,0.32113,0
-1.299,0.26051,-1.2136,0
0.30435,-0.018837,0.17506,0
-0.57076,-1.6768,-0.15233,0
-1.0293,0.49399,2.2311,0
-1.3758,-0.59723,-0.68664,0
-1.2651,-0.0020624,0.29105,0
1.7375,-0.49226,-0.74613,0
-1.5356,-0.25729,-0.12784,0
-1.904,-1.5808,-1.1767,0
-0.57405,-0.61344,-1.4353,0
-0.89493,0.4904,-0.35769,0
-0.32999,0.54615,0.023959,0
1.2606,-0.39595,0.86945,0
-0.20466,-2.3664,-1,0
-1.0632,-1.0576,1.1172,0
1.2224,0.69546,1.0353,0
-0.21933,0.30847,-2.8827,0
0.83185,-0.5799,0.73658,0
2.7935,0.89137,0.84715,0
-1.5988,-1.8114,1.2478,0
-0.41935,0.10485,1.4211,0
-0.27625,-1.103,0.43606,0
0.045923,0.11418,0.55706,0
0.7844,-2.1211,2.3261,0
-0.1235,-0.014122,-0.54906,0
-1.6269,3.5069,1.519,0
0.98095,-0.53237,0.11464,0
0.36262,0.64737,0.4122,0
-0.42429,-1.0938,0.85499,0
0.17687,1.1737,0.39797,0
-0.49489,-0.8835,-0.60639,0
-1.6329,-1.4329,-0.36502,0
-0.93207,-0.21907,-0.39901,0
0.73877,-0.88419,0.08261,0
-0.14698,0.63077,-0.018957,0
1.4683,-1.219,0.46352,0
0.60307,-0.64459,0.05896,0
-0.65843,-1.4315,-0.045268,0
-0.6388,-0.029929,-0.83935,0
1.0096,-1.6515,-0.60998,0
1.2994,0.054031,1.5507,0
-0.46505,1.2715,-1.6871,0
1.5045,-0.52563,-2.083,0
-0.95449,-0.3601,-0.42189,0
0.034998,-0.26501,-0.22267,0
-0.79203,-1.5165,2.4416,0
-0.092792,0.64977,0.85472,0
-0.13922,1.3344,0.61841,0
0.12026,-0.14729,0.2765,0
-0.78226,0.62584,1.5087,0
-0.45679,0.031316,0.67455,0
-1.3735,0.24846,-0.2877,0
-0.50258,-0.86936,0.44295,0
-1.0441,-0.2404,-0.68032,0
-1.4043,-1.8859,0.16895,0
-1.1805,-2.1377,0.20788,0
0.12463,-0.40765,-0.21343,0
0.31404,0.86544,0.065336,0
0.9832,-0.30744,-0.80669,0
0.53531,1.3916,0.64081,0
1.658,1.1959,2.323,0
-1.8823,-0.32022,0.80578,0
0.85,-1.6407,-0.42695,0
0.5481,0.18083,1.0749,0
-0.014559,0.80191,0.42342,0
-1.2464,-2.0882,-1.1421,0
-1.6633,0.68222,0.69062,0
0.39743,0.41219,-0.64583,0
0.48098,0.49997,1.6729,0
-0.020534,1.0386,0.078101,0
0.94345,-0.39616,1.2663,0
1.1286,-0.46183,0.29453,0
-0.41098,1.8105,-0.38198,0
-0.91865,-0.41634,-1.8033,0
0.030285,-0.35691,-0.31684,0
-0.58464,0.65424,-1.7165,0
0.096879,0.045799,-0.83075,0
-0.61318,0.22566,-1.0431,0
-0.2195,-0.0030547,1.1602,0
-0.91327,0.83471,2.9687,0
-0.31431,-0.41353,0.54069,0
-0.99959,0.5562,-1.8489,0
1.1706,1.8577,0.88414,0
0.45485,1.0673,2.2251,0
1.3562,-0.10697,-1.302,0
0.26952,0.13148,1.527,0
-0.054228,-0.51477,1.0011,0
1.2811,-0.71747,2.0337,0
0.0047475,-0.71669,0.36162,0
-0.42797,0.99838,0.27164,0
0.9436,-0.32531,-0.0013927,0
-0.37015,0.14785,0.13373,0
-1.5715,1.3707,1.0014,0
-1.1712,0.4048,-0.2335,0
1.445,-1.5687,-0.98019,0
-0.65946,1.436,1.9387,0
0.56409,-1.0352,-1.6419,0
-2.1458,-1.4898,1.9737,0
-0.55851,0.42229,0.34351,0
-0.50525,-0.021695,0.12569,0
-2.3984,0.51529,1.2637,0
-1.4445,-1.753,0.50201,0
0.057026,1.7571,-0.35442,0
-0.44517,-0.13477,0.81438,0
0.127,-0.63258,-1.339,0
-0.78722,-2.2512,-0.047472,0
-0.19988,-1.7186,1.0471,0
1.8192,0.39892,-0.43738,0
-0.48682,0.5775,0.6481,0
-0.30273,-1.5322,1.2553,0
-1.9483,-0.64092,0.46428,0
-0.18543,0.56586,-0.25246,0
-1.7005,0.46495,-0.056241,0
-0.36564,-0.021116,0.41994,0
0.59231,-0.4817,1.6614,0
0.44121,0.12098,0.79587,0
1.3119,-1.113,1.7061,0
-0.066606,0.29374,-0.58102,0
-0.49491,-0.58689,1.3913,0
-0.74928,-0.32036,-0.5308,0
-1.911,0.14436,1.3228,0
-2.2024,0.35475,0.32512,0
0.72669,-0.2402,-0.51426,0
-0.33736,0.91689,1.1033,0
1.0106,0.85964,0.32443,0
0.84846,0.4223,1.0437,0
-0.2432,0.96714,-0.84743,0
-1.801,-0.776,-0.56123,0
1.094,0.14104,0.32972,0
-0.80018,0.070445,-0.31798,0
-0.021001,1.329,-0.40572,0
1.2717,-0.25345,0.58352,0
-0.067095,-1.2673,0.58051,0
0.84722,-0.90694,-0.48185,0
-1.5561,-0.81097,-0.28908,0
-1.7618,-1.8622,0.6417,0
0.47767,0.46082,0.52232,0
0.81342,0.040644,0.74085,0
-0.24788,0.26893,-0.11974,0
2.2241,-0.41198,1.5544,0
-0.66672,-1.9472,1.3378,0
-0.7894,-1.4981,-0.78728,0
-1.7146,1.1513,1.2362,0
1.1392,0.4973,0.46237,0
-0.71731,-0.10893,-0.37912,0
-0.34113,-0.21289,-0.28447,0
0.052937,-3.3248,-1.2476,0
2.2896,0.043199,-0.055576,0
-0.54491,-0.78573,1.2072,0
-0.15081,-0.13968,-0.1146,0
-0.3408,0.7871,0.85536,0
-0.28491,0.22758,-1.2195,0
0.89218,-1.2075,0.67954,0
-1.3354,-0.42074,-2.679,0
-1.0258,-0.88696,0.5959,0
0.027804,-0.3284,-0.26757,0
1.7631,1.0825,0.21003,0
0.33224,-0.99346,-0.11434,0
-0.82107,-0.65395,-0.37473,0
1.056,0.65751,-0.35394,0
1.096,0.024023,0.67477,0
0.01994,-1.516,-2.0901,0
0.74776,1.8565,-0.078265,0
-1.3372,0.78625,1.0995,0
0.1278,1.5106,-0.96619,0
-0.98588,-1.2042,1.5816,0
0.80303,0.71781,-0.82348,0
1.4399,1.1387,0.51872,0
1.5331,0.46852,-1.0696,0
0.77262,-1.3709,0.49777,0
1.3473,-0.22393,0.044136,0
-0.53118,0.11895,0.18759,0
3.2167,-0.49671,-0.31422,0
0.16996,0.28545,0.25152,0
1.39,-1.3922,1.836,0
-0.44282,0.49787,2.3556,0
1.1845,0.58743,-0.11761,0
-1.1978,0.18589,-0.49194,0
-0.53405,0.28287,0.83026,0
-0.82584,0.36917,1.4394,0
-1.1456,-0.53785,-0.86888,0
-2.3103,-0.70054,-1.9897,0
