category,sub_category,item_id,number_ordered,amount,number_returned
A,Y,121751,4,96,2
A,Z,128329,2,69,2
A,Z,125039,1,28,1
A,Z,128688,1,23,0
A,Z,127586,1,23,1
A,Z,122606,8,239.6,8
A,Z,124716,2,59.9,2
A,Z,126765,2,60,0
A,Z,129341,2,60,2
A,Y,127175,1,43,1
A,Y,121315,8,192,1
A,Y,122200,8,192,5
A,Y,125694,8,192,2
A,Z,126939,6,101.7,0
A,Z,124614,6,101.7,6
B,Z,122953,1,19,1
B,Z,130602,4,120,0
B,Z,121312,4,120,4
B,V,129122,1,8,0
B,V,129306,1,8,1
B,V,121151,1,6,0
B,V,125107,1,6,1
B,V,124752,1,9,0
B,V,125852,1,9,1
B,W,130938,8,78,0
B,W,129985,8,78,8
B,U,128350,6,61.5,6
B,Z,125275,1,27,0
B,Z,125429,1,27,1
A,Y,125283,111,2664,80
A,Y,127609,111,2664,31
A,Y,121738,76,1900,28
A,Y,130013,76,1900,48
A,Y,122198,54,1296,54
A,Z,126287,20,360,6
A,Z,129738,20,360,0
A,Z,121111,20,360,14
A,Y,129050,2,107.9,2
A,Z,122216,23,690,10
A,Z,127815,23,690,10
A,Z,121649,23,690,3
A,Z,127426,2,60,2
A,Y,129514,16,384,16
A,Y,125379,0,0,0
A,Y,122560,60,1440,60
A,Y,124262,68,1632,44
A,Y,125519,68,1632,24
A,Y,126713,5,120,5
B,Y,129350,3,185.85,0
B,Y,126791,3,185.85,3
B,Z,125485,1,28.95,1
A,Z,129883,2,63,2
B,Z,123731,2,55.9,2
A,Z,123134,2,33.9,2
A,Z,127907,3,77.85,3
A,V,125265,1,24,1
A,V,126037,1,24,1
A,Z,126901,18,755.1,2
A,Z,130611,18,755.1,16
B,Y,122146,8,415.6,0
B,Y,126814,8,415.6,8
A,Z,123202,1,22.95,1
A,Z,128604,17,390.15,1
A,Z,128236,17,390.15,2
A,Z,126111,17,390.15,14
A,Y,129655,52,2701.4,36
A,Y,122599,52,2701.4,16
A,Z,124415,22,702.9,5
A,Z,127979,22,702.9,17
A,Z,124471,3,95.85,3
A,Y,126955,23,757.85,23
A,Y,128898,27,889.65,27
A,Y,129163,53,1351.5,10
A,Y,122075,53,1351.5,43
A,Y,122146,67,1708.5,67
A,Y,125648,61,1464,61
A,Y,126305,102,2448,37
A,Y,121743,102,2448,65
A,Z,122154,2,47.9,1
A,Z,123550,2,47.9,1
A,Z,123373,3,88.5,3
A,Z,124578,1,30.95,0
A,Z,126903,1,30.95,1
A,Z,127072,1,18.95,1
A,Z,128153,1,18.95,1
B,Z,127070,1,10.95,1
A,Z,125448,2,60,2
A,Z,121507,1,22,1
A,Z,123317,1,22,0
A,Z,122876,1,22,1
A,Z,123748,1,24.5,1
A,Z,127551,2,35.9,2
A,Z,124238,1,28.95,1
A,Z,127210,1,19.95,1
A,Y,123963,1,43,1
A,Z,127384,2,59,2
A,Z,125051,2,41.9,2
A,Z,121141,2,37.9,2
A,U,128180,2,27,2
A,Z,125347,2,33.9,2
A,Z,127217,4,98,2
A,Z,127815,4,98,2
A,Z,128289,1,23,1
A,Z,121588,2,43.9,1
A,Z,129368,2,43.9,1
A,Z,124790,4,87.8,4
A,Y,125408,10,240,10
A,U,126033,4,54,0
A,U,127237,4,54,4
B,Z,127049,2,46,2
B,Z,130115,1,13,0
B,Z,121327,1,13,1
B,Z,130481,1,27,1
B,Z,125766,1,20,1
B,Y,129135,8,154,0
B,Y,122800,8,154,8
B,Y,126245,1,38,0
B,Y,124126,1,38,1
B,W,130808,14,136.5,0
B,W,130886,14,136.5,2
B,W,126149,14,136.5,12
B,U,125195,6,78,0
B,U,128413,6,78,6
B,U,122582,8,98,2
B,U,124665,8,98,6
A,Z,125688,1,20,0
A,Z,129639,1,20,1
A,V,129451,2,36,1
A,V,124693,2,36,1
A,Z,124542,7,210,7
A,Y,125742,1,43,1
A,Z,122297,1,29.5,1
A,Z,128114,1,33,1
A,Z,128336,1,21.95,1
A,Y,130741,3,147,3
A,Z,125926,1,17,1
A,U,121607,3,48,0
A,U,129484,3,48,3
A,Y,126213,5,124.75,5
A,W,125135,1,11.5,0
A,W,129508,1,11.5,1
A,Y,121731,1,53,1
A,Y,122627,1,45.75,1
A,Z,128124,9,197.55,9
A,Z,128568,1,21.95,1
A,Y,125676,17,408,17
A,Y,121746,76,1824,76
A,Y,128418,6,144,6
A,Z,129736,2,49.9,2
A,Z,128948,2,59,1
A,Z,121539,2,59,1
A,Z,129341,1,33,1
A,Z,128230,1,33,1
A,Z,130550,2,51.9,2
A,V,128100,3,74.85,1
A,V,127571,3,74.85,2
A,Z,123517,8,240,0
A,Z,128899,8,240,8
A,Z,122463,8,240,2
A,Z,123545,8,240,2
A,Z,121746,8,240,2
A,Z,126209,8,240,2
A,U,122713,1,14.25,1
A,Y,130109,2,174,2
A,Y,129574,0,0,0
A,Y,128295,50,1200,50
A,Y,126835,20,480,20
A,Y,124145,130,3120,130
A,Z,125466,17,373.15,3
A,Z,124865,17,373.15,1
A,Z,126444,17,373.15,13
A,Z,123607,80,1960,80
A,Y,129392,33,823.35,33
A,Z,124229,8,207.6,8
A,Z,123153,2,59,2
A,Z,127153,3,57,3
A,Z,125223,1,28.5,1
A,Z,126941,1,25.5,1
A,Z,122086,2,51,2
A,Z,130984,2,60,0
A,Z,129313,2,60,2
A,Z,131168,1,28,1
A,V,122411,1,28,1
A,U,131075,2,32,1
A,U,122342,2,32,1
A,Z,127230,5,95,2
A,Z,123876,5,95,3
A,Z,127326,2,50,2
A,V,126220,2,31.9,2
A,Z,126003,1,18.95,1
A,Z,124484,1,23.95,1
A,Z,129733,3,90,0
A,Z,129882,3,90,3
A,Z,129612,1,25.5,1
A,Z,123179,1,48,1
A,Z,128376,2,56,0
A,Z,125815,2,56,2
A,Z,130370,3,50.85,3
A,Y,122618,10,249.5,10
A,Y,124520,2,74,0
A,Y,129163,2,74,2
A,Z,124915,4,114,3
A,Z,122203,4,114,1
A,Z,125210,1,23,1
B,Z,125906,1,19,1
B,Z,128955,1,37,1
B,Z,125112,1,13,0
B,Z,125855,1,13,1
B,Z,128793,1,30,0
B,Z,123711,1,30,1
B,V,130679,1,10,1
B,W,123969,2,19.5,2
B,W,129360,6,58.5,6
B,U,124312,1,13,1
A,Z,122282,5,99.75,5
A,Z,121354,2,38,2
A,Y,124595,12,299.4,12
A,V,130819,1,20.45,1
A,Z,124385,6,101.7,0
A,Z,126901,6,101.7,6
B,V,122918,1,6,0
B,V,125693,1,6,1
B,V,123642,1,9,0
B,V,130534,1,9,1
A,Z,129175,10,219.5,9
A,Z,125939,10,219.5,1
A,Z,123470,1,33.95,1
A,Z,130570,2,46,1
A,Z,129511,2,46,1
A,Z,125811,2,51.9,2
A,Z,129324,2,37.9,2
A,Z,129629,1,28,1
A,Z,123631,2,33.9,2
A,Y,126161,17,424.15,17
A,Y,126946,285,5628.75,285
A,Y,130135,39,770.25,39
A,Y,125945,3,129,3
A,Y,121822,3,147,3
A,Y,127005,8,192,8
A,Z,122327,1,12,1
A,Z,124722,1,21.95,1
A,W,123420,2,23,2
A,Z,125566,1,30,1
A,Y,121982,2,102,0
A,Y,127447,2,102,2
B,Y,127237,1,41.95,0
B,Y,124567,1,41.95,1
B,Y,123443,1,18.84,1
B,Y,127223,1,28.84,0
B,Y,130677,1,28.84,1
A,Y,127445,1,43.75,0
A,Y,124472,1,43.75,1
A,Z,124281,2,33.9,2
A,Y,131038,1,43,1
A,Z,129168,4,87.8,4
A,Z,121840,4,76,4
A,Y,125274,12,299.4,12
B,Z,126301,1,27,1
B,Z,126178,1,19,1
B,Z,123233,4,120,0
B,Z,129970,4,120,4
B,Z,121539,1,13,0
B,Z,127259,1,13,1
B,Z,126427,2,56,2
B,Y,127923,3,57.75,1
B,Y,125106,3,57.75,2
B,Z,129348,6,78,0
B,Z,128966,6,78,6
B,W,127621,6,58.5,6
B,U,127520,4,52,0
B,U,121667,4,52,4
B,U,129456,6,73.5,3
B,U,126822,6,73.5,3
A,Z,124805,4,92,3
A,Z,129302,4,92,1
A,Z,122997,4,87.8,4
A,Z,129864,7,160.65,7
A,Y,126405,10,249.5,10
A,U,126179,3,48,3
A,Y,124544,1,43,1
B,Z,129268,1,19,1
B,Z,128470,1,20,1
B,Z,128777,1,25.5,1
B,Y,121589,4,77,2
B,Y,129745,4,77,2
B,V,130442,1,10,1
B,W,125942,12,117,12
B,U,122794,5,65,3
B,U,129091,5,65,2
B,U,125171,3,37.5,3
A,Y,122058,1,18,1
A,Z,123551,1,19.95,1
A,Z,123913,1,37,1
A,Y,130597,6,149.7,6
A,Z,126197,1,29.5,1
A,Z,124083,1,33.95,1
A,Z,130002,1,48,1
A,Z,129036,1,26.95,1
A,Z,121361,1,21.95,1
A,Z,127124,1,34.5,1
A,Z,128955,1,30,1
A,Z,125217,1,16.95,1
A,Z,126072,1,19.95,1
B,W,125789,2,25,2
A,Z,127599,41,694.95,1
A,Z,121973,41,694.95,40
A,Z,129455,5,84.75,5
A,Y,121428,84,2016,9
A,Y,124535,84,2016,75
A,Y,129077,54,1296,54
A,Z,130545,1,23,1
A,Z,122171,1,23,1
A,Y,127920,4,99.8,4
A,V,125513,2,40.9,2
B,Z,129722,4,112,2
B,Z,130531,4,112,0
B,Z,128264,4,112,2
B,Y,129224,2,17.68,0
B,Y,129147,2,17.68,2
B,V,128941,1,10,1
B,V,128103,1,30,1
B,W,130768,12,117,6
B,W,122180,12,117,6
B,U,131189,8,98,8
A,Z,121908,4,114,4
A,Z,122643,2,31.9,2
A,Z,128203,1,15.95,1
A,Z,122415,6,125.7,6
A,Z,130466,6,114,2
A,Z,128469,6,114,0
A,Z,122080,6,114,4
A,Y,122562,1,43,1
A,Y,129989,16,236,16
B,Z,123022,8,240,0
B,Z,130243,8,240,8
B,Z,122894,1,19,1
B,Z,121613,1,14.95,0
B,Z,126371,1,14.95,1
B,Z,122428,1,26.5,1
A,Z,130649,6,101.7,0
A,Z,129350,6,101.7,6
B,V,121791,1,10,0
B,V,122743,1,10,1
B,V,126511,1,7.95,0
B,V,127127,1,7.95,1
B,V,125869,1,35.9,1
B,V,123975,1,9.95,1
B,W,122434,12,117,12
B,U,121935,6,78,6
B,U,129963,5,62.5,5
B,U,130989,1,12.5,1
A,V,127299,1,14.95,1
A,Z,122471,47,1410,10
A,Z,130879,47,1410,18
A,Z,127422,47,1410,10
A,Z,125162,47,1410,9
A,Z,125716,6,180,6
A,Y,126196,0,0,0
A,Y,122598,164,4091.8,164
A,Y,125686,1,37,0
A,Y,130260,1,37,1
A,Y,123772,7,174.65,7
A,Y,127925,18,449.1,18
A,Y,122882,2,49.9,2
A,Y,129377,12,299.4,12
A,Y,124751,18,449.1,18
A,Y,129154,14,349.3,14
A,Y,131054,6,149.7,6
A,Y,126850,9,224.55,9
A,Y,128238,12,299.4,12
B,Y,127661,1,38,1
A,Z,123608,1,29.5,1
A,Z,121672,1,33,1
A,Z,123120,2,33.9,2
A,Z,123705,2,38,2
A,Z,131054,1,25.95,1
A,Z,122529,1,41.95,1
A,Y,128116,1,60,1
A,Z,130916,1,21.95,1
A,Y,126351,1,49,1
A,Z,121685,1,30.95,1
A,Y,127660,3,72,3
A,Y,130166,82,2045.9,82
A,Z,121656,6,198,6
A,Y,125586,14,322,14
A,Y,129524,1,23,1
A,Z,126402,1,32,1
A,Z,129247,1,21.95,1
A,Z,129795,1,19.95,1
A,Z,130215,1,26.95,1
A,Z,131155,1,30,1
A,Z,125115,1,48,1
A,Z,128239,1,37,1
A,Y,122890,4,96,4
A,Z,131415,1,20,1
A,Z,123371,1,34.5,1
A,Y,125260,2,107.9,2
B,Y,124484,216,3240,216
A,Z,130699,3,88.5,3
A,Z,124243,3,99,3
A,Z,129598,2,76,1
A,Z,122263,2,76,1
A,Z,123964,3,77.85,3
A,Z,123129,1,25.95,1
A,V,127755,3,74.85,3
A,Z,128304,16,480,9
A,Z,121594,16,480,7
A,Y,124746,10,600,10
A,U,128503,1,14.25,1
A,Y,130175,2,174,2
A,Z,128776,16,351.2,16
A,Z,124433,2,43.9,2
A,Y,122545,27,1323,27
A,Y,131120,150,3600,150
A,Z,128780,1,24.65,1
A,Z,126023,1,27.5,1
A,Z,126039,2,37.9,1
A,Z,128507,2,37.9,1
A,Z,123762,1,33,1
A,Z,123447,1,30.95,0
A,Z,126396,1,30.95,1
A,W,129000,2,23,2
A,Z,122715,1,22.95,1
A,Z,122315,1,18.95,1
A,Z,130928,2,38,2
A,Z,126738,1,24.95,1
A,Z,127418,3,88.5,3
A,Z,127161,3,71.55,3
A,Z,126916,2,47.9,2
A,Z,129621,1,58.95,1
A,Z,122473,3,68.85,3
A,Z,128266,2,38,2
A,Y,121852,8,118,8
A,Z,124139,2,51,1
A,Z,126005,2,51,1
A,Z,130731,4,114,4
A,Z,129294,4,92,4
A,Z,128392,8,175.6,8
A,Z,123408,8,152,4
A,Z,127141,8,152,2
A,Z,124928,8,152,2
A,Z,127161,1,18.95,0
A,Z,124030,1,18.95,1
A,Y,125650,18,449.1,18
A,V,123107,1,20.45,1
B,Z,121562,1,19,1
B,Z,123544,2,40,1
B,Z,128722,2,40,1
B,Z,129035,4,112,0
B,Z,131393,4,112,4
B,Z,121698,1,25.5,0
B,Z,128846,1,25.5,1
B,V,123462,1,10,0
B,V,125869,1,10,1
B,V,121791,1,8,1
A,V,125045,3,84,3
B,V,123566,1,6,0
B,V,121802,1,6,1
B,V,125961,1,9,0
B,V,124854,1,9,1
B,W,129947,12,117,12
A,Z,124979,2,39.9,2
B,U,125685,2,26,2
B,U,123420,1,12.25,1
B,U,124033,7,85.75,5
B,U,121486,7,85.75,2
B,X,126367,1,53,0
B,X,125185,1,53,1
A,Z,130037,3,65.85,3
A,Z,128995,10,260,5
A,Z,128547,10,260,5
B,Y,124288,108,594,108
A,Y,130296,0,0,0
A,Y,131072,0,0,0
A,Y,129996,0,0,0
A,Y,122999,0,0,0
A,Y,130226,0,0,0
A,Y,123568,0,0,0
A,Y,130560,0,0,0
A,Y,121509,6,88.5,6
A,Y,127782,31,457.25,31
A,Z,121993,1,30,1
A,Z,124612,2,46,2
A,Z,126305,1,28.5,1
A,Z,122130,1,19.95,1
A,Z,126476,1,19.95,1
A,Z,123410,1,22.95,1
A,Z,125494,1,16.95,1
A,Z,127569,1,24,1
A,Z,122962,1,24,1
A,Y,122292,6,222,1
A,Y,125727,6,222,5
A,Y,130586,1,44,1
A,Z,131495,3,50.85,3
A,Z,124882,1,16.95,1
B,Y,127650,216,1080,216
A,Y,127847,108,1134,108
A,Z,125347,2,57,2
A,Y,127023,1,45,1
B,Z,126203,4,120,0
B,Z,126300,4,120,4
B,Y,124692,4,75.36,1
B,Y,121994,4,75.36,0
B,Y,130662,4,75.36,3
B,W,129887,6,58.5,6
A,Z,128768,5,112.5,5
A,Y,124330,8,192,8
B,V,124276,1,9,0
B,V,129827,1,9,1
A,Y,124716,5,76,5
A,Y,130894,0,0,0
A,Z,129181,1,19.25,1
A,Z,124949,1,19.45,1
A,Z,128801,0,0,0
A,Z,125982,1,19.22,1
A,Z,131106,0,0,0
A,Z,129909,1,25.33,1
A,Z,123525,1,22.17,1
A,Z,123747,1,19.2,1
A,Z,129278,1,28.4,1
A,Z,129550,2,47.36,2
B,Z,126054,1,31.68,1
A,Y,128785,1,34.29,1
A,Y,123716,12,299.4,12
A,Z,126917,5,84.75,5
A,V,122016,4,75.8,1
A,V,125587,4,75.8,3
A,Z,127195,15,314.25,0
A,Z,126038,15,314.25,15
A,V,128675,1,20.45,1
A,V,122848,1,26,1
A,V,128108,0,0,0
A,V,128475,0,0,0
A,Z,122174,1,29.5,1
A,Z,129039,1,24.95,1
A,Z,122561,6,203.1,6
A,Z,129747,1,33.85,1
A,Z,125286,3,74.85,3
A,U,122135,6,96,4
A,U,123168,6,96,0
A,U,125280,6,96,2
A,Y,129969,6,75,6
A,Z,125616,2,42,2
A,Z,127291,40,1158,6
A,Z,127519,40,1158,22
A,Z,124830,40,1158,12
A,Z,125159,5,144.75,5
A,Y,130523,1,53.95,1
A,Y,124224,40,500,40
A,Z,127655,2,61,2
A,Y,127085,1,45,1
A,Y,126077,5,62.5,5
A,Y,127895,3,37.5,3
B,Z,122711,6,192,0
B,Z,126773,6,192,6
B,Z,122596,1,21.95,1
B,Y,128321,2,43.9,1
B,Y,131412,2,43.9,1
B,V,127596,1,10,0
B,V,126848,1,10,1
B,W,129973,12,117,12
B,U,130833,4,52,0
B,U,122389,4,52,4
B,U,129462,4,49,4
B,V,127890,2,12,1
B,V,124984,2,12,1
B,V,131204,1,9,0
B,V,129261,1,9,1
A,V,124786,4,83.8,4
A,Z,124254,8,183.6,4
A,Z,124901,8,183.6,2
A,Z,129450,8,183.6,2
A,Z,122661,1,22.95,1
A,Z,131326,3,68.85,3
